q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
1.921,1.7522,3.5483,1.7244,20.505,1.6869,16.926,0.40074
1.921,1.7633,3.6084,1.7373,26.975,2.1046,17.1,0.49961
1.921,1.7781,3.6884,1.7544,25.992,2.0285,19.156,0.39374
1.921,1.7964,3.7883,1.7757,41.205,2.9715,19.996,0.50413
1.921,1.8148,3.889,1.797,49.561,3.8842,22.05,0.54918
1.921,1.8329,3.989,1.8181,76.23,6.2217,22.784,0.73943
1.921,1.8509,4.0892,1.8391,99.492,10.676,25.326,1.0322
2.213,1.477,0.93607,1.3555,-0.010255,0.017201,0.47456,0.016519
2.213,1.4895,0.99673,1.3697,0.04013,0.014535,0.48153,0.013353
2.213,1.5033,1.0637,1.3853,0.056076,0.018264,0.53403,0.016997
2.213,1.5233,1.1621,1.4081,0.0075153,0.021312,0.68776,0.019186
2.213,1.5475,1.2819,1.4356,0.076038,0.021817,0.77506,0.01869
2.213,1.5717,1.4025,1.4631,0.11306,0.025766,0.9364,0.021281
2.213,1.5955,1.5226,1.4903,0.10906,0.033039,1.1503,0.026381
2.213,1.6247,1.6714,1.5237,-0.026529,0.049344,1.5811,0.038178
2.213,1.6626,1.8671,1.5672,0.086984,0.054469,2.0227,0.04118
2.213,1.6956,2.04,1.6052,0.75789,0.11757,2.3112,0.066208
2.213,1.7193,2.1654,1.6325,0.98646,0.13057,2.7065,0.078038
2.213,1.7381,2.2658,1.6542,1.2311,0.16461,3.0814,0.096211
2.213,1.7531,2.3463,1.6716,1.2389,0.2115,3.519,0.10975
2.213,1.7675,2.4238,1.6882,1.7492,0.21469,3.7344,0.11278
2.213,1.7788,2.4849,1.7012,1.766,0.2916,4.1128,0.14453
2.213,1.7899,2.5457,1.7142,1.8832,0.28562,4.4797,0.14784
2.213,1.8008,2.6052,1.7268,2.357,0.34472,4.7067,0.16042
2.213,1.811,2.6609,1.7386,2.0612,0.34266,5.238,0.16573
2.213,1.8218,2.7208,1.7512,2.5218,0.37649,5.4884,0.158
2.213,1.8332,2.7837,1.7645,2.5438,0.35387,5.9583,0.15452
2.213,1.844,2.8437,1.7771,3.0172,0.52016,6.31,0.20796
2.213,1.8548,2.9038,1.7896,3.3118,0.40981,6.7488,0.1654
2.213,1.8655,2.9637,1.8021,4.2005,0.61037,7.011,0.22521
2.213,1.8735,3.0085,1.8114,4.3713,0.57868,7.378,0.22564
2.213,1.8877,3.089,1.8281,5.7955,0.60858,7.6938,0.19133
2.213,1.9119,3.2259,1.8563,6.6809,0.68124,8.822,0.20182
2.213,1.9362,3.3651,1.8848,7.1153,0.82112,10.379,0.22075
2.213,1.957,3.4854,1.9093,10.696,1.0656,10.945,0.26798
2.213,1.9743,3.5857,1.9296,15.726,1.3414,11.111,0.36326
2.213,1.9942,3.702,1.953,15.853,1.4975,13.0,0.40353
2.213,2.0298,3.9119,1.995,20.298,1.82,15.89,0.42523
2.213,2.0659,4.1279,2.0378,26.079,3.0138,19.559,0.53819
2.213,2.086,4.2486,2.0615,37.621,3.4856,21.034,0.54159
2.213,2.1124,4.4091,2.0929,61.854,7.1696,24.111,0.8121
2.5,1.7265,0.85079,1.5802,0.030915,0.0058044,0.23301,0.0051004
2.5,1.7774,1.125,1.6392,0.037359,0.012867,0.40362,0.010414
2.5,1.7956,1.2241,1.6603,0.042312,0.021685,0.48991,0.015635
2.5,1.8138,1.3237,1.6813,-0.0064829,0.023525,0.61157,0.018551
2.5,1.9521,2.104,1.8429,0.092722,0.05906,1.9891,0.037254
2.5,1.9728,2.2241,1.8673,0.41968,0.073666,2.1904,0.045404
2.5,2.0102,2.4436,1.9114,0.39959,0.089393,3.0202,0.050212
2.5,2.0407,2.6246,1.9475,0.7632,0.10445,3.6602,0.053829
2.5,2.0676,2.7855,1.9793,1.199,0.13862,4.3467,0.067755
2.5,2.1007,2.9852,2.0185,1.9504,0.16522,5.2579,0.073014
2.5,2.1151,3.0732,2.0357,2.5529,0.33055,5.6743,0.11272
2.5,2.128,3.1518,2.0509,3.3076,0.48477,6.0479,0.14205
2.5,2.1401,3.2263,2.0654,3.5419,0.37613,6.4476,0.1297
2.5,2.1533,3.3076,2.0811,4.3083,0.47441,6.8215,0.13856
2.5,2.1661,3.3874,2.0965,4.8687,0.46939,7.4163,0.13644
2.5,2.179,3.4675,2.1118,6.2056,0.51171,7.7651,0.15116
2.5,2.195,3.5676,2.131,7.1169,0.5692,8.4609,0.15349
2.5,2.214,3.6867,2.1537,8.1944,0.84478,9.3462,0.18669
2.5,2.2298,3.7865,2.1726,12.037,0.99042,9.7111,0.21938
2.5,2.2425,3.8673,2.1879,12.904,1.8342,10.465,0.33845
2.5,2.2612,3.9864,2.2103,14.602,1.5737,11.704,0.29516
2.5,2.2829,4.1261,2.2365,17.414,1.8531,13.155,0.33756
2.5,2.3078,4.2872,2.2665,24.9,2.319,14.658,0.33234
