Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),Ex
6,12,0.25,40,0.041051316,184500,5535,16,0.698131701,0.116977778,0.03975
6,12,0.25,40,0.041291316,181900,5457,16,0.698131701,0.116977778,0.03999
6,12,0.25,40,0.041481316,182700,5481,16,0.698131701,0.116977778,0.04018
6,12,0.25,40,0.041711316,182700,5481,16,0.698131701,0.116977778,0.04041
6,12,0.25,40,0.041891316,182100,5463,16,0.698131701,0.116977778,0.04059
6,12,0.25,40,0.042111316,181800,5454,16,0.698131701,0.116977778,0.04081
6,12,0.25,40,0.042311316,181300,5439,16,0.698131701,0.116977778,0.04101
6,12,0.25,40,0.042521316,182300,5469,16,0.698131701,0.116977778,0.04122
6,12,0.25,40,0.042812316,170120,5103.6,16,0.698131701,0.116977778,0.041511
6,12,0.25,40,0.043292316,168290,5048.7,16,0.698131701,0.116977778,0.041991
6,12,0.25,40,0.043772316,167570,5027.1,16,0.698131701,0.116977778,0.042471
6,12,0.25,40,0.044252316,165260,4957.8,16,0.698131701,0.116977778,0.042951
6,12,0.25,40,0.044732316,161400,4842,16,0.698131701,0.116977778,0.043431
6,12,0.25,40,0.045212316,162200,4866,16,0.698131701,0.116977778,0.043911
6,12,0.25,40,0.045692316,159560,4786.8,16,0.698131701,0.116977778,0.044391
6,12,0.25,40,0.046172316,160000,4800,16,0.698131701,0.116977778,0.044871
6,12,0.25,40,0.046652316,148000,4440,16,0.698131701,0.116977778,0.045351
6,12,0.25,40,0.047132316,152170,4565.1,16,0.698131701,0.116977778,0.045831
6,12,0.25,40,0.047612316,154680,4640.4,16,0.698131701,0.116977778,0.046311
6,12,0.25,40,0.048092316,152980,4589.4,16,0.698131701,0.116977778,0.046791
6,12,0.25,40,0.048572316,147090,4412.7,16,0.698131701,0.116977778,0.047271
6,12,0.25,40,0.049052316,139020,4170.6,16,0.698131701,0.116977778,0.047751
6,12,0.25,40,0.049532316,133760,4012.8,16,0.698131701,0.116977778,0.048231
6,12,0.25,40,0.050012316,134940,4048.2,16,0.698131701,0.116977778,0.048711
6,12,0.25,40,0.050493316,129330,3879.9,16,0.698131701,0.116977778,0.049192
6,12,0.25,40,0.050973316,128520,3855.6,16,0.698131701,0.116977778,0.049672
6,12,0.25,40,0.051453316,130120,3903.6,16,0.698131701,0.116977778,0.050152
6,12,0.25,40,0.051933316,134340,4030.2,16,0.698131701,0.116977778,0.050632
6,12,0.25,40,0.052413316,128770,3863.1,16,0.698131701,0.116977778,0.051112
6,12,0.25,40,0.052893316,125150,3754.5,16,0.698131701,0.116977778,0.051592
6,12,0.25,40,0.053373316,113940,3418.2,16,0.698131701,0.116977778,0.052072
6,12,0.25,40,0.053853316,117640,3529.2,16,0.698131701,0.116977778,0.052552
6,12,0.25,40,0.054333316,112480,3374.4,16,0.698131701,0.116977778,0.053032
6,12,0.25,40,0.054813316,108880,3266.4,16,0.698131701,0.116977778,0.053512
6,12,0.25,40,0.055293316,113210,3396.3,16,0.698131701,0.116977778,0.053992
6,12,0.25,40,0.055773316,106930,3207.9,16,0.698131701,0.116977778,0.054472
6,12,0.25,40,0.056253316,103740,3112.2,16,0.698131701,0.116977778,0.054952
6,12,0.25,40,0.056733316,104770,3143.1,16,0.698131701,0.116977778,0.055432
6,12,0.25,40,0.057213316,102810,3084.3,16,0.698131701,0.116977778,0.055912
6,12,0.25,40,0.057693316,99370,2981.1,16,0.698131701,0.116977778,0.056392
6,12,0.25,40,0.058174316,96550,2896.5,16,0.698131701,0.116977778,0.056873
6,12,0.25,40,0.058654316,95450,2863.5,16,0.698131701,0.116977778,0.057353
6,12,0.25,40,0.059134316,97620,2928.6,16,0.698131701,0.116977778,0.057833
6,12,0.25,40,0.059614316,92180,2765.4,16,0.698131701,0.116977778,0.058313
6,12,0.25,40,0.060094316,86720,2601.6,16,0.698131701,0.116977778,0.058793
6,12,0.25,40,0.060574316,84280,2528.4,16,0.698131701,0.116977778,0.059273
6,12,0.25,40,0.061054316,86790,2603.7,16,0.698131701,0.116977778,0.059753
6,12,0.25,40,0.061534316,81250,2437.5,16,0.698131701,0.116977778,0.060233
6,12,0.25,40,0.062014316,83730,2511.9,16,0.698131701,0.116977778,0.060713
6,12,0.25,40,0.062494316,79450,2383.5,16,0.698131701,0.116977778,0.061193
6,12,0.25,40,0.062974316,80330,2409.9,16,0.698131701,0.116977778,0.061673
6,12,0.25,40,0.063454316,76390,2291.7,16,0.698131701,0.116977778,0.062153
6,12,0.25,40,0.063934316,77410,2322.3,16,0.698131701,0.116977778,0.062633
6,12,0.25,40,0.064414316,71780,2153.4,16,0.698131701,0.116977778,0.063113
6,12,0.25,40,0.064894316,67760,2032.8,16,0.698131701,0.116977778,0.063593
6,12,0.25,40,0.065374316,67940,2038.2,16,0.698131701,0.116977778,0.064073
6,12,0.25,40,0.065854316,69650,2089.5,16,0.698131701,0.116977778,0.064553
6,12,0.25,40,0.066335316,64900,1947,16,0.698131701,0.116977778,0.065034
6,12,0.25,40,0.066815316,65500,1965,16,0.698131701,0.116977778,0.065514
6,12,0.25,40,0.067295316,64780,1943.4,16,0.698131701,0.116977778,0.065994
6,12,0.25,40,0.067775316,63150,1894.5,16,0.698131701,0.116977778,0.066474
6,12,0.25,40,0.068255316,63040,1891.2,16,0.698131701,0.116977778,0.066954
6,12,0.25,40,0.068735316,60180,1805.4,16,0.698131701,0.116977778,0.067434
6,12,0.25,40,0.069215316,60560,1816.8,16,0.698131701,0.116977778,0.067914
6,12,0.25,40,0.069695316,57070,1712.1,16,0.698131701,0.116977778,0.068394
6,12,0.25,40,0.070175316,57600,1728,16,0.698131701,0.116977778,0.068874
6,12,0.25,40,0.070655316,54010,1620.3,16,0.698131701,0.116977778,0.069354
6,12,0.25,40,0.071135316,55000,1650,16,0.698131701,0.116977778,0.069834
6,12,0.25,40,0.071615316,53880,1616.4,16,0.698131701,0.116977778,0.070314
6,12,0.25,40,0.072095316,53290,1598.7,16,0.698131701,0.116977778,0.070794
6,12,0.25,40,0.072575316,51750,1552.5,16,0.698131701,0.116977778,0.071274
6,12,0.25,40,0.073055316,51570,1547.1,16,0.698131701,0.116977778,0.071754
6,12,0.25,40,0.073535316,49970,1499.1,16,0.698131701,0.116977778,0.072234
6,12,0.25,40,0.074016316,51130,1533.9,16,0.698131701,0.116977778,0.072715
6,12,0.25,40,0.074496316,49020,1470.6,16,0.698131701,0.116977778,0.073195
6,12,0.25,40,0.074976316,49020,1470.6,16,0.698131701,0.116977778,0.073675
6,12,0.25,40,0.075456316,46630,1398.9,16,0.698131701,0.116977778,0.074155
