Z,A,theta,E0,Ex,dataSet,cross,error,nu
6,12,155,0.082,0.02,Ricco: 1968,6847.29697,629.8974759,0.02113091
6,12,155,0.082,0.0202,Ricco: 1968,8609.379205,672.6023895,0.02133091
6,12,155,0.082,0.0204,Ricco: 1968,7958.734729,459.1181852,0.02153091
6,12,155,0.082,0.0209,Ricco: 1968,9689.575373,448.3814111,0.02203091
6,12,155,0.082,0.021,Ricco: 1968,10746.9458,480.4504601,0.02213091
6,12,155,0.082,0.0215,Ricco: 1968,14057.88843,512.4589635,0.02263091
6,12,155,0.082,0.0219,Ricco: 1968,15403.92067,469.7338679,0.02303091
6,12,155,0.082,0.022,Ricco: 1968,16172.91185,491.0863247,0.02313091
6,12,155,0.082,0.0222,Ricco: 1968,16344.27641,576.4557882,0.02333091
6,12,155,0.082,0.0223,Ricco: 1968,14508.38895,576.4759701,0.02343091
6,12,155,0.082,0.0225,Ricco: 1968,16131.49857,512.4589635,0.02363091
6,12,155,0.082,0.0226,Ricco: 1968,16911.26689,565.8401055,0.02373091
6,12,155,0.082,0.0229,Ricco: 1968,14990.45396,523.0746461,0.02403091
6,12,155,0.082,0.0232,Ricco: 1968,14329.1938,501.7221893,0.02433091
6,12,155,0.082,0.0236,Ricco: 1968,13721.65788,565.8401055,0.02473091
6,12,155,0.082,0.0239,Ricco: 1968,12462.6702,640.5938862,0.02503091
6,12,155,0.082,0.0242,Ricco: 1968,12111.18212,491.1065066,0.02533091
6,12,155,0.082,0.0246,Ricco: 1968,11493.21215,640.5333405,0.02573091
6,12,155,0.082,0.0249,Ricco: 1968,11942.19902,501.8230989,0.02603091
6,12,155,0.082,0.025,Ricco: 1968,12743.25924,448.4217749,0.02613091
6,12,155,0.082,0.0253,Ricco: 1968,12188.96319,480.4302782,0.02643091
6,12,155,0.082,0.0257,Ricco: 1968,13737.92449,501.802917,0.02683091
6,12,155,0.082,0.0259,Ricco: 1968,13578.3058,491.1468705,0.02703091
6,12,155,0.082,0.026,Ricco: 1968,12692.60266,352.3155374,0.02713091
6,12,155,0.082,0.0261,Ricco: 1968,12511.44987,640.5333405,0.02723091
6,12,155,0.082,0.0263,Ricco: 1968,11124.06491,491.0459609,0.02743091
6,12,155,0.082,0.0266,Ricco: 1968,11178.25332,512.4185996,0.02773091
6,12,155,0.082,0.0269,Ricco: 1968,10399.67574,544.4472849,0.02803091
6,12,155,0.082,0.027,Ricco: 1968,11339.30494,576.5970615,0.02813091
6,12,155,0.082,0.0273,Ricco: 1968,12076.81234,469.713686,0.02843091
6,12,155,0.082,0.0274,Ricco: 1968,11073.40832,341.6998547,0.02853091
6,12,155,0.082,0.0276,Ricco: 1968,11607.72429,544.4472849,0.02873091
6,12,155,0.082,0.0277,Ricco: 1968,12141.83844,362.9917658,0.02883091
6,12,155,0.082,0.0278,Ricco: 1968,9878.942199,501.7827351,0.02893091
6,12,155,0.082,0.028,Ricco: 1968,10125.04036,448.401593,0.02913091
6,12,155,0.082,0.0285,Ricco: 1968,10574.53178,512.5195092,0.02963091
6,12,155,0.082,0.0287,Ricco: 1968,9272.778645,469.7742317,0.02983091
6,12,155,0.082,0.0291,Ricco: 1968,9455.223077,544.4674668,0.03023091
6,12,155,0.082,0.0294,Ricco: 1968,9296.008019,523.1553738,0.03053091
6,12,155,0.082,0.0296,Ricco: 1968,9712.94602,555.184059,0.03073091
6,12,155,0.082,0.03,Ricco: 1968,10279.71449,416.3930897,0.03113091
6,12,155,0.082,0.0303,Ricco: 1968,10141.77116,587.2127442,0.03143091
6,12,155,0.082,0.0305,Ricco: 1968,10014.16097,533.7710565,0.03163091
6,12,155,0.082,0.0306,Ricco: 1968,8370.284161,523.1755557,0.03173091
6,12,155,0.082,0.0309,Ricco: 1968,8595.272052,565.8602874,0.03203091
6,12,155,0.082,0.031,Ricco: 1968,8552.990959,480.4302782,0.03213091
6,12,155,0.082,0.0314,Ricco: 1968,9824.309779,480.4100963,0.03253091
6,12,155,0.082,0.0317,Ricco: 1968,9056.388246,459.0374576,0.03283091
6,12,155,0.082,0.032,Ricco: 1968,10263.79097,491.1065066,0.03313091
6,12,155,0.082,0.0323,Ricco: 1968,8268.163716,576.4759701,0.03343091
6,12,155,0.082,0.0326,Ricco: 1968,9155.017222,469.7338679,0.03373091
6,12,155,0.082,0.0329,Ricco: 1968,9081.050535,480.3899144,0.03403091
6,12,155,0.082,0.0332,Ricco: 1968,8110.361391,427.0289543,0.03433091
6,12,155,0.082,0.0335,Ricco: 1968,9370.943437,512.4993273,0.03463091
6,12,155,0.082,0.0338,Ricco: 1968,8581.649265,448.4419568,0.03493091
6,12,155,0.082,0.0341,Ricco: 1968,9190.981379,523.1553738,0.03523091
6,12,155,0.082,0.0345,Ricco: 1968,8369.941069,533.8316022,0.03563091
6,12,155,0.082,0.0347,Ricco: 1968,8765.688068,459.1383671,0.03583091
6,12,155,0.082,0.035,Ricco: 1968,8371.474894,469.7944136,0.03613091
6,12,155,0.082,0.0353,Ricco: 1968,8916.729455,523.1351919,0.03643091
6,12,155,0.082,0.0356,Ricco: 1968,8276.882299,480.4302782,0.03673091
6,12,155,0.082,0.036,Ricco: 1968,7818.934664,544.5078306,0.03713091
6,12,155,0.082,0.0363,Ricco: 1968,8011.792961,448.401593,0.03743091
6,12,155,0.082,0.0365,Ricco: 1968,9443.113934,491.2074162,0.03763091
6,12,155,0.082,0.0367,Ricco: 1968,9101.898445,469.7540498,0.03783091
6,12,155,0.082,0.0368,Ricco: 1968,9315.725741,469.7540498,0.03793091
6,12,155,0.082,0.037,Ricco: 1968,10469.26296,491.1468705,0.03813091
6,12,155,0.082,0.0371,Ricco: 1968,9134.855498,533.8114203,0.03823091
6,12,155,0.082,0.0374,Ricco: 1968,7790.700178,491.1468705,0.03853091
6,12,155,0.1,0.0201,Ricco: 1968,8880.680975,667.7464023,0.021776824
6,12,155,0.1,0.0204,Ricco: 1968,8089.053459,645.2450423,0.022076824
6,12,155,0.1,0.0207,Ricco: 1968,8944.599674,586.02443,0.022376824
6,12,155,0.1,0.0211,Ricco: 1968,7189.122694,533.912764,0.022776824
6,12,155,0.1,0.0213,Ricco: 1968,10432.65664,615.6965531,0.022976824
6,12,155,0.1,0.0216,Ricco: 1968,11065.78557,638.1979131,0.023276824
6,12,155,0.1,0.0219,Ricco: 1968,11772.66208,615.75837,0.023576824
6,12,155,0.1,0.0221,Ricco: 1968,10824.32867,615.75837,0.023776824
6,12,155,0.1,0.0222,Ricco: 1968,10180.0727,549.0579101,0.023876824
6,12,155,0.1,0.0225,Ricco: 1968,11072.58543,630.7180654,0.024176824
6,12,155,0.1,0.0229,Ricco: 1968,10110.96138,667.4991346,0.024576824
6,12,155,0.1,0.0232,Ricco: 1968,9705.07146,600.9223085,0.024876824
6,12,155,0.1,0.0235,Ricco: 1968,9536.558528,623.1145838,0.025176824
6,12,155,0.1,0.0239,Ricco: 1968,9198.049058,630.3471638,0.025576824
6,12,155,0.1,0.0241,Ricco: 1968,9370.827358,600.6750408,0.025776824
6,12,155,0.1,0.0245,Ricco: 1968,8675.757875,623.1764008,0.026176824
6,12,155,0.1,0.0246,Ricco: 1968,8795.80634,415.5333564,0.026276824
6,12,155,0.1,0.0248,Ricco: 1968,9672.184857,378.3813857,0.026476824
6,12,155,0.1,0.0252,Ricco: 1968,9475.174324,615.8201869,0.026876824
6,12,155,0.1,0.0255,Ricco: 1968,10263.52554,578.6063993,0.027176824
6,12,155,0.1,0.0258,Ricco: 1968,11111.90099,452.6235102,0.027476824
6,12,155,0.1,0.026,Ricco: 1968,10237.56244,504.5497255,0.027676824
6,12,155,0.1,0.0262,Ricco: 1968,9215.295979,489.4045794,0.027876824
6,12,155,0.1,0.0265,Ricco: 1968,9952.091885,630.4089808,0.028176824
6,12,155,0.1,0.0268,Ricco: 1968,10888.80372,497.0080609,0.028476824
6,12,155,0.1,0.0271,Ricco: 1968,11069.12368,534.2836655,0.028776824
6,12,155,0.1,0.0274,Ricco: 1968,8987.129717,608.4021562,0.029076824
6,12,155,0.1,0.0277,Ricco: 1968,9004.12937,578.6063993,0.029376824
6,12,155,0.1,0.028,Ricco: 1968,9199.347213,608.4021562,0.029676824
6,12,155,0.1,0.0284,Ricco: 1968,7992.557242,556.2286732,0.030076824
6,12,155,0.1,0.0287,Ricco: 1968,8232.468721,660.2047376,0.030376824
6,12,155,0.1,0.029,Ricco: 1968,8969.079175,608.4021562,0.030676824
6,12,155,0.1,0.0293,Ricco: 1968,7977.164829,586.02443,0.030976824
6,12,155,0.1,0.0296,Ricco: 1968,8186.971465,600.8604916,0.031276824
6,12,155,0.1,0.03,Ricco: 1968,6899.077692,682.397013,0.031676824
6,12,155,0.1,0.0302,Ricco: 1968,7346.199496,578.6682162,0.031876824
6,12,155,0.1,0.0305,Ricco: 1968,5835.208447,571.3120024,0.032176824
6,12,155,0.1,0.0308,Ricco: 1968,7320.607289,608.2167054,0.032476824
6,12,155,0.1,0.031,Ricco: 1968,7975.186687,578.6063993,0.032676824
6,12,155,0.1,0.0312,Ricco: 1968,8406.916077,600.9223085,0.032876824
6,12,155,0.1,0.0314,Ricco: 1968,7028.831413,445.0200287,0.033076824
6,12,155,0.1,0.0317,Ricco: 1968,8380.891153,630.4707977,0.033376824
6,12,155,0.1,0.0319,Ricco: 1968,7581.536521,660.3283715,0.033576824
6,12,155,0.1,0.0324,Ricco: 1968,8371.062262,571.2501855,0.034076824
6,12,155,0.1,0.0328,Ricco: 1968,7128.233025,601.0459423,0.034476824
6,12,155,0.1,0.0333,Ricco: 1968,7094.480985,637.8888284,0.034976824
6,12,155,0.1,0.0338,Ricco: 1968,7313.312893,615.8201869,0.035476824
6,12,155,0.1,0.0342,Ricco: 1968,7197.962514,608.2785223,0.035876824
6,12,155,0.1,0.0344,Ricco: 1968,7992.928144,638.0124623,0.036076824
6,12,155,0.1,0.0348,Ricco: 1968,7692.06518,652.9103407,0.036476824
6,12,155,0.1,0.0352,Ricco: 1968,7746.464072,630.5944315,0.036876824
6,12,155,0.1,0.0355,Ricco: 1968,7859.898126,578.6682162,0.037176824
6,12,155,0.1,0.036,Ricco: 1968,7196.04619,370.8397211,0.037676824
6,12,155,0.1,0.0363,Ricco: 1968,7302.30948,689.9386776,0.037976824
6,12,155,0.1,0.0366,Ricco: 1968,7682.545374,660.2047376,0.038276824
6,12,155,0.1,0.0369,Ricco: 1968,7165.941348,638.1360961,0.038576824
6,12,155,0.1,0.0375,Ricco: 1968,6999.344741,623.0527669,0.039176824
6,12,155,0.1,0.0379,Ricco: 1968,6847.089659,682.397013,0.039576824
6,12,155,0.1,0.0383,Ricco: 1968,7035.074922,675.1026161,0.039976824
6,12,155,0.1,0.0388,Ricco: 1968,7172.308491,630.6562485,0.040476824
6,12,155,0.1,0.0393,Ricco: 1968,7220.278423,704.5892884,0.040976824
6,12,155,0.1,0.0396,Ricco: 1968,6881.892587,623.1764008,0.041276824
6,12,155,0.1,0.0397,Ricco: 1968,5287.386875,623.2382177,0.041376824
